keyword,hunt,est_low,est_high,liquidity,confidence,days_to_sell,notes
sixten ivarsson,estate-tobacco-pipes,1000,5000,low,0.8,220,Authenticate artisan stamp
lars ivarsson,estate-tobacco-pipes,1000,5000,low,0.8,220,Authenticate artisan stamp
s. bang,estate-tobacco-pipes,800,3000,low,0.75,190,Authenticate artisan stamp
jess chonowitsch,estate-tobacco-pipes,800,2500,low,0.75,190,Authenticate artisan stamp
tom eltang,estate-tobacco-pipes,400,1200,medium,0.8,120,Authenticate stamp
dunhill patent,estate-tobacco-pipes,300,900,high,0.8,65,Pre-1955 patent era
dunhill,estate-tobacco-pipes,150,400,high,0.7,65,Date code and authenticity matter
castello sea rock,estate-tobacco-pipes,150,500,high,0.8,70,Grade and size matter
barling ye olde wood,estate-tobacco-pipes,200,600,medium,0.8,90,Pre-transition preferred
charatan,estate-tobacco-pipes,150,400,medium,0.7,90,Era matters
comoy's blue riband,estate-tobacco-pipes,150,350,high,0.8,70,Condition and stamping matter
caminetto,estate-tobacco-pipes,150,400,medium,0.75,90,Older mustache logo preferred
ser jacopo,estate-tobacco-pipes,150,400,medium,0.8,80,Grade matters
radice,estate-tobacco-pipes,150,400,medium,0.8,80,Grade matters
sasieni four dot,estate-tobacco-pipes,100,300,high,0.8,70,Pre-transition preferred
peterson patent,estate-tobacco-pipes,100,300,high,0.8,65,Patent era premium
custombilt,estate-tobacco-pipes,75,200,high,0.75,70,Tracy Mincer era preferred
block meerschaum,estate-tobacco-pipes,100,400,medium,0.75,90,Fitted case and carving matter
gbd,estate-tobacco-pipes,50,150,high,0.8,60,Shape and condition matter
stanwell,estate-tobacco-pipes,50,150,high,0.8,60,Danish designed examples
nording,estate-tobacco-pipes,50,150,high,0.8,60,Freehand examples
savinelli,estate-tobacco-pipes,40,100,high,0.85,55,Common liquid maker
kaywoodie,estate-tobacco-pipes,30,80,medium,0.8,75,Older four-hole stinger preferred
dr. grabow,estate-tobacco-pipes,5,15,low,0.95,120,Low value common pipe
medico,estate-tobacco-pipes,5,15,low,0.95,120,Low value common pipe
yello-bole,estate-tobacco-pipes,5,18,low,0.9,120,Low value common pipe
